domain,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
migratewithq.co.za,6,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0
nexia-sabt.co.za,6,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0
professionals](https,6,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0
randrescue.com,6,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0
saffasabroad.com,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
sataxguide.co.za,6,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0
sovereigngroup.com,6,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0
sps.co.za,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
ssa.global,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
taxassist.co.za,6,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0
taxriskmanagement.com,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
taxwise.co.za,6,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0
visa](https,6,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0
visacorp.co.za,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
visahq.com,6,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
visas.co.za,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
workvisasouthafrica.co.za,6,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0
apextaxsolutions.co.za,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
associates](https,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
attorneys](https,5,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0
axiomtaxolutions.co.za,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
bank)](https,5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
exceed.co.za,5,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
globalimmigrationsolutions.co.za,5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
gt,5,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
imcosa.co.za,5,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
immigrationlawyers.co.za,5,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
newlandchase.com,5,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0
nexiasab.co.za,5,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0
sa.com,5,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0
saimmigration.com,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
sarstax.co.za,5,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
schindlers.co.za,5,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0
sygnia.co.za,5,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
taxdebt.co.za,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
taxdebtadvisors.co.za,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
thetaxshop.co.za,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
thevisacompany.co.za,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
visaandimmigrationservices.co.za,5,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
visalogix.com,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
xperts](https,5,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0
apostil.co.za,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atax.co.za,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
brenthurstwealth.co.za,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
capitecbank.co.za,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
citadel.co.za,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
clients](https,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
debtrescue.co.za,4,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
expatriatesolutions.com,4,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
galbraithrushby.co.za,4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
globalvisasolutions.co.za,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
immigrationadvisors.co.za,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
law](https,4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
ninetyone.com,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
octagonfinancial.co.za,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
octagonfs.co.za,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
pathfinderimmigration.co.za,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
sovereigntrust.com,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
stc-immigration.com,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
svatax.co.za,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
tax,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
taxconsultingsa.co.za,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
taxdebtsa.co.za,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxlawhome.co.za,4,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
taxrescue.co.za,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
trmservices.co.za,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
visa-box.co.za,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
visaexpress.co.za,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
**workpermit.com,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
afimmigration.com,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
ataxpractitioner.co.za,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
avenant.co.za,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
bakermckenzie.com,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
bidvestbank.co.za,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
blackpenimmigration.com,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bureau](https,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
capetownimmigration.com,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
capetownvisa.com,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
capitalmigration.co.za,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
